player_name,draft_year_x,height,wingspan,vertical,lane_agility,sprint_time,draft_year_y,gp,ts_pct,usg_pct,BPM
scottie barnes,2021,79.0,86.75,36.0,10.88,3.15,2021.0,74,0.552,0.187,0.9
scottie barnes,2021,79.0,86.75,36.0,10.88,3.15,2021.0,77,0.524,0.2,0.9
charles bassey,2021,81.25,87.0,33.0,12.19,3.13,2021.0,23,0.66,0.152,1.9
charles bassey,2021,81.25,87.0,33.0,12.19,3.13,2021.0,35,0.6579999999999999,0.152,1.9
greg brown iii,2021,79.25,84.25,33.5,10.98,3.19,2021.0,48,0.515,0.168,-4.7
greg brown iii,2021,79.25,84.25,33.5,10.98,3.19,2021.0,16,0.421,0.17,-4.7
josh christopher,2021,75.25,81.25,29.5,11.32,3.14,2021.0,74,0.534,0.205,-3.5
josh christopher,2021,75.25,81.25,29.5,11.32,3.14,2021.0,64,0.523,0.215,-3.5
ayo dosunmu,2021,75.5,82.25,27.0,11.51,3.23,2021.0,77,0.596,0.138,-2.0
ayo dosunmu,2021,75.5,82.25,27.0,11.51,3.23,2021.0,80,0.5670000000000001,0.145,-2.0
kessler edwards,2021,79.0,83.25,28.0,11.3,3.25,2021.0,48,0.516,0.132,-3.8
kessler edwards,2021,79.0,83.25,28.0,11.3,3.25,2021.0,36,0.502,0.119,-3.8
luka garza,2021,82.0,85.5,24.0,11.9,3.51,2021.0,32,0.535,0.195,-2.5
luka garza,2021,82.0,85.5,24.0,11.9,3.51,2021.0,28,0.652,0.245,-2.5
quentin grimes,2021,76.0,80.0,30.5,11.09,3.07,2021.0,46,0.565,0.149,-0.3
quentin grimes,2021,76.0,80.0,30.5,11.09,3.07,2021.0,71,0.619,0.142,-0.3
david johnson,2021,75.25,82.5,33.0,12.02,3.03,2021.0,2,0.0,0.143,-27.7
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,37,0.4529999999999999,0.207,-5.9
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,37,0.4529999999999999,0.207,-5.7
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,37,0.4529999999999999,0.207,-6.0
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,40,0.482,0.237,-5.9
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,40,0.482,0.237,-5.7
keon johnson,2021,75.5,79.25,41.5,11.45,3.0,2021.0,40,0.482,0.237,-6.0
herbert jones,2021,78.0,84.25,28.5,11.02,3.25,2021.0,78,0.573,0.136,-0.5
herbert jones,2021,78.0,84.25,28.5,11.02,3.25,2021.0,66,0.5670000000000001,0.144,-0.5
corey kispert,2021,78.0,79.0,30.0,10.91,3.12,2021.0,77,0.586,0.142,-2.3
corey kispert,2021,78.0,79.0,30.0,10.91,3.12,2021.0,74,0.657,0.139,-2.3
scottie lewis,2021,76.0,84.0,34.0,10.45,2.98,2021.0,2,0.568,0.059,6.0
sandro mamukelashvili,2021,81.0,85.25,30.5,11.63,3.21,2021.0,41,0.618,0.142,-0.3
sandro mamukelashvili,2021,81.0,85.25,30.5,11.63,3.21,2021.0,43,0.516,0.177,-0.3
miles mcbride,2021,73.0,80.75,31.0,11.08,3.1,2021.0,40,0.3929999999999999,0.1369999999999999,-4.5
miles mcbride,2021,73.0,80.75,31.0,11.08,3.1,2021.0,64,0.475,0.141,-4.5
trey murphy iii,2021,79.5,84.0,34.0,11.65,3.14,2021.0,62,0.5579999999999999,0.147,-1.2
trey murphy iii,2021,79.5,84.0,34.0,11.65,3.14,2021.0,79,0.65,0.159,-1.2
